name,url,version
images/ui/idol_detail/parts_fes.json_image,idol_detail_parts_fes.png,8
images/ui/home_deck/parts.json_image,home_deck_parts.png,10
images/ui/item/parts_content.json_image,item_parts_content.png,8
images/content/produce_area/button_m/002.png,button_m_002.png,1
images/content/produce_area/button_l/002.png,button_l_002.png,1
images/ui/shop/parts_currency_status.json_image,parts_currency_status.png,1
images/ui/common/parts_item_content.json_image,item_content.png,1
images/ui/skin_exchange/parts.json_image,skin_exchange.png,9
images/ui/produce_action/parts_fan_meeting.json_image,parts_fan_meeting.png,2
images/content/produce_auditions/banner/004.jpg,produce_auditions_banner_004.jpg,5
images/content/produce_auditions/banner/003.jpg,produce_auditions_banner_003.jpg,5
images/content/produce_auditions/banner/002.jpg,produce_auditions_banner_002.jpg,5
images/content/produce_auditions/banner/001.jpg,produce_auditions_banner_001.jpg,5
images/content/produce_auditions/banner/006.jpg,produce_auditions_banner_006.jpg,5
images/content/produce_auditions/banner/007.jpg,produce_auditions_banner_007.jpg,5
images/ui/produce_item/parts.json_image,produce_item_parts.png,11
images/content/produce_auditions/banner/015.jpg,produce_auditions_banner_015.jpg,5
images/content/produce_auditions/banner/013.jpg,produce_auditions_banner_013.jpg,5
images/content/produce_auditions/banner/017.jpg,produce_auditions_banner_017.jpg,5
images/content/produce_auditions/banner/018.jpg,produce_auditions_banner_018.jpg,5
images/content/produce_auditions/banner/011.jpg,produce_auditions_banner_011.jpg,5
images/content/produce_auditions/banner/009.jpg,produce_auditions_banner_009.jpg,5
images/content/produce_auditions/banner/012.jpg,produce_auditions_banner_012.jpg,5
images/ui/produce_area/parts.json_image,produce_area_parts.png,1
images/content/produces/banners/002.png,produces_banners_002.png,1
images/ui/album/parts.json_image,album_parts.png,12
images/ui/update_information/parts_new_idol.json_image,update_information.png,10
images/content/produce_auditions/banner/101.jpg,produce_auditions_banner_101.jpg,5
images/content/produce_auditions/banner/103.jpg,produce_auditions_banner_103.jpg,5
images/content/produce_auditions/banner/104.jpg,produce_auditions_banner_104.jpg,5
images/content/produce_auditions/banner/102.jpg,produce_auditions_banner_102.jpg,5
images/ui/common/join_recommend_banner.png,join_recommend_banner.png,9
images/ui/produce_helper_support_idol/parts.json_image,produce_helper_support_idol.png,2
images/ui/produce_action/parts_event.json_image,produce_action_parts_event.png,1
images/tips/produce_skill_board/001.jpg,produce_skill_board_001.jpg,7
images/ui/work_activity_top/parts.json_image,work_activity_top.png,3
images/ui/work_activity_result/parts.json_image,work_activity_result.png,2
images/content/my_page/banner_border/event_notice.png,event_notice.png,1
images/content/gasha/bg/6ee7b2d1c1adcc09beb11fe9a8636dd7_1952.jpg,bg_1952.png,1
images/content/gasha/title/6ee7b2d1c1adcc09beb11fe9a8636dd7_1952.png,title_1952.png,1
